Category,Token / Element,Value,Notes / Usage
FONT FAMILY,Primary Serif,"Cormorant Garamond, Georgia, serif",Editorial display — hero titles, h2/h3, product names, prices, italic accents
FONT FAMILY,Primary Sans-Serif,"Montserrat, sans-serif",Structural — logo, navigation, eyebrows, buttons, body utility text
FONT FAMILY,Source,Google Fonts,Loaded via fonts.googleapis.com in <head> of every page
FONT WEIGHTS,Cormorant Garamond,"400, 500, 600, 700 (+ italic 400, 500)",
FONT WEIGHTS,Montserrat,"300, 400, 500, 600, 700",
,,,
COLOR,Black (deep),#0d0d0d,Default page background on most pages — footer base
COLOR,Black (slightly lighter),#0a0a0a,Footer base on bespoke gallery
COLOR,Black (card / strip),#141414,Service strip background; original card background (now white)
COLOR,Black (header text),#111,Header logo / contact / icons / hamburger lines on white header
COLOR,Charcoal,#1a1a1a,Card / surface base; product card name color on white grid
COLOR,Mid gray text,#333,Quote text on cream sections
COLOR,Light gray text,#888,Secondary text — captions
COLOR,Pale gray text,#999,Placeholder labels — "Product Image" on PDP slots
COLOR,Subtle gray,#bbb,Image-placeholder caption text
COLOR,Light tone gray,#ccc,Body text on dark backgrounds
COLOR,Cream / off-white,#faf7f2,Optional warm background per style guide
COLOR,Cream variant,#f5f3f0,Quote section background
COLOR,Pure white,#ffffff,Header background sitewide; product cards; image slots
COLOR,Border light,#ececec,1px hairline border on product cards
COLOR,Brand gold (primary),#c5a258,Eyebrows / link accents / atelier-step numbers / italic accents
COLOR,Brand gold (deeper),#8a6d2f,"""View More"" label color on white card grid (darker for legibility)"
COLOR,Gold variant,#d4af37,"Atelier section step number, gold-variant CTA"
COLOR,Border on dark,"rgba(255,255,255,0.06)",Subtle dividers on dark backgrounds
COLOR,Border on white,"rgba(0,0,0,0.08)",Soft hairline divider on white surfaces (header bottom border)
,,,
GRADIENT,Card top fade (grid),"linear-gradient to bottom, rgba(0,0,0,0.10) → 0",Top 32% of each .lv-card-img — subtle frame
GRADIENT,Card bottom fade (grid),"linear-gradient to top, rgba(0,0,0,0.16) → 0",Bottom 45% of each .lv-card-img — subtle frame + text legibility
GRADIENT,PDP slot top fade,"linear-gradient to bottom, rgba(0,0,0,0.22) → 0",Top 32% of each .pdp-image-slot — sharper than grid
GRADIENT,PDP slot bottom fade,REMOVED,Bottom gradient deliberately removed; clean white below
GRADIENT,Image placeholder fill,"linear-gradient 135deg, #1a1a1a → #141414",Default for empty .image-placeholder (overridden to white on PDP)
,,,
TYPE SCALE,Logo,26px desktop / 20px mobile,Montserrat 700 uppercase — letter-spacing 6px desktop / 4px mobile
TYPE SCALE,Hero h1 / display,"clamp(48px, 5.5vw, 72px)",Cormorant Garamond 700
TYPE SCALE,Section h2,"clamp(2rem, 4vw, 3rem)",Cormorant Garamond 300/400
TYPE SCALE,Section eyebrow,11–12px uppercase,Montserrat 400/600 — letter-spacing 2–3px gold
TYPE SCALE,Body default,16px (1rem),Cormorant Garamond on default body — line-height 1.6
TYPE SCALE,Card title (grid),10px uppercase,Montserrat 500 — letter-spacing 1px — color #1a1a1a
TYPE SCALE,Card price (grid),10px uppercase,Montserrat 600 — letter-spacing 1.5px — color #8a6d2f
TYPE SCALE,Nav top-level link,12px uppercase,Montserrat 500 — letter-spacing 1.5px — color #fff (in dark menu)
TYPE SCALE,Nav sub-link (mobile-cat-link),11px,Montserrat 400 — color #999 — left-padded 14px
TYPE SCALE,Accordion button,~14px,Montserrat — uppercase
TYPE SCALE,Footer h4,~14px,Montserrat 600 uppercase
,,,
LAYOUT,Page max width,1400px,.section-inner / .header-inner / .footer-inner / .pdp-related-grid
LAYOUT,Container padding,80px 40px (desktop),Inner section padding standard
LAYOUT,Section padding (mobile),50px 20px,
LAYOUT,Grid columns (collection),"repeat(5, 1fr) → repeat(3, 1fr) → repeat(2, 1fr)",Desktop 5 / tablet 3 / phone 2
LAYOUT,Grid gap (collection),1px,Tight grid gap for LV-style adjacent tiles
LAYOUT,Grid bottom padding,100px,Breathing room above the bespoke CTA banner
LAYOUT,Grid top padding,0,Cards butt against filter bar above
LAYOUT,Card aspect ratio (grid),3 / 4.2,Slightly taller than wide
LAYOUT,Image slot aspect ratio (PDP),1 / 1,Square stacked image slots on product detail
LAYOUT,Card image padding (grid),0,Image fills card width edge-to-edge with object-fit: contain
LAYOUT,Card border (grid),1px solid #ececec,Defines white card on white grid
,,,
HEADER,Background,#ffffff (white) sitewide,Was dark; changed sitewide to match product page treatment
HEADER,Border bottom,"1px solid rgba(0,0,0,0.08)",Soft divider from page content
HEADER,Position,sticky top:0 z-index:100,Stays visible on scroll
HEADER,Text/Icon color,#111,Logo / contact link / icons / menu label / hamburger lines
HEADER,Height (padding),18px 40px,
HEADER,Mobile padding,14px 20px,
,,,
MENU OVERLAY,Background,#1a1a1a,Dark slide-down panel from hamburger button
MENU OVERLAY,Width,280px,Fixed-width panel anchored top-left
MENU OVERLAY,Top-level link color,#fff,Cormorant text 12px uppercase
MENU OVERLAY,Sub-link color,#999,11px regular case
MENU OVERLAY,Hover color,#c5a258 (gold),Standard link hover
MENU OVERLAY,Border / shadow,"1px rgba(255,255,255,0.08); shadow 0 8px 40px rgba(0,0,0,0.4)",
,,,
PRODUCT LIGHTBOX,Background,"rgba(0,0,0,0.92)",Near-opaque dark overlay on click
PRODUCT LIGHTBOX,Image native width,3000px (Cloudinary w_3000 transform),Served on click via URL transform
PRODUCT LIGHTBOX,Zoom slider range,0.2x to 1.5x,Default 1.0 (= 100% / 3000px)
PRODUCT LIGHTBOX,Zoom slider position,Bottom-center fixed pill,"Background rgba(0,0,0,0.65), backdrop-filter blur 8px"
PRODUCT LIGHTBOX,Zoom slider accent color,#c5a258 (gold),Slider thumb / track active
PRODUCT LIGHTBOX,Close behavior,Click anywhere except slider; or X; or Escape,
,,,
BUTTONS,.btn-primary,Background #1a1a1a / color #c5a258,Hover background #333
BUTTONS,.btn-secondary,Transparent / color #c5a258 / border 1.5px #c5a258,Standard CTA on dark sections
BUTTONS,Padding,16px 40px,Generous touch target
BUTTONS,Font,Montserrat 600 / 12px / 2px tracking / uppercase,
BUTTONS,Hero CTA,12px / 2px tracking / 1.5px border / 14px 36px,Lighter weight CTA inside hero
,,,
IMAGE TREATMENT,object-fit (grid),contain,Full image visible with white margins as needed
IMAGE TREATMENT,object-fit (PDP detail),contain,Same — full image with breathing room
IMAGE TREATMENT,Hover scale (grid),scale(1.04) over 0.5s,Subtle zoom on hover
IMAGE TREATMENT,Cursor on PDP image,zoom-in,Signals click-to-enlarge
IMAGE TREATMENT,Image rendering hint,-webkit-optimize-contrast,Sharper resampling for downscaled images
IMAGE TREATMENT,Cloudinary transform (grid),"f_auto,q_auto,w_1000",1000px wide auto-format auto-quality
IMAGE TREATMENT,Cloudinary transform (PDP),"f_auto,q_auto,w_1500",1500px wide for larger PDP slot
IMAGE TREATMENT,Cloudinary transform (lightbox),"f_auto,q_auto,w_3000,h_3000,c_limit",Full inspection size
,,,
PALETTE NOTE,Style Guide reference,"Black #1a1a1a / Gold #c5a258 / Cream #faf7f2",Per styles.css comment header
PALETTE NOTE,Editorial pairing,Cormorant Garamond + Montserrat,Serif emotion + sans utility — classic luxury-jewelry pairing
PALETTE NOTE,Reference comparable,"Cartier, Tiffany pairings",Both use Didone-family serif + clean sans
